,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision_recall,pdf-semantic_similarity,pdf-precision,pdf-recall,precision_recall
Automatic dialog act segmentation and classification in multiparty meetings,crossref,0.0,0.0,0.0,0.6925882028311362,,,,,,,
A convolutional neural network for modelling sentences,arxiv Library,0.5,0.13043478260869565,0.031914893617021274,0.8173101719977668,arxiv Library,0.7,,0.8401152698568002,0.4782608695652174,0.13924050632911392,
On the properties of neural machine translation: Encoderdecoder approaches,,,,,,,,,,,,
Natural language processing (almost) from scratch,arxiv Library,0.1,0.2,0.060240963855421686,0.7818013962679458,arxiv Library,0.0,,0.8530635469756996,0.2,0.053763440860215055,
Deep learning for efficient discriminative parsing,,,,,,,,,,,,
AdobeMIT submission to the DSTC 4 Spoken Language Understanding pilot task,,,,,,,,,,,,
Long short-term memory,,,,,,,,,,,,
The ICSI meeting corpus,crossref,0.0,0.0,0.0,0.6621756972386053,,,,,,,
Backoff model training using partially observed data: application to dialog act tagging,,,,,,,,,,,,
Switchboard SWBDDAMSL shallow-discourse-function annotation coders manual,,,,,,,,,,,,
Dialog State Tracking Challenge 4: Handbook,,,,,,,,,,,,
The Fourth Dialog State Tracking Challenge,crossref,0.0,0.0,0.0,0.6795249711957303,,,,,,,
Convolutional neural networks for sentence classification,arxiv Library,0.6,0.21739130434782608,0.07575757575757576,0.8436294633868219,arxiv Library,0.8,,0.8546761876324799,0.4782608695652174,0.12941176470588237,
Token-based chunking of turninternal dialogue act sequences,,,,,,,,,,,,
Rnnlm-recurrent neural network language modeling toolkit,,,,,,,,,,,,
Efficient estimation of word representations in vector space. arXiv preprint arXiv:1301.3781,,,,,,,,,,,,
Distributed representations of words and phrases and their compositionality,arxiv Library,0.8,1.0,0.0,0.665101184586277,arxiv Library,0.0,,0.6974219082922023,1.0,0.0,
Dependency tree-based sentiment classification using CRFs with hidden variables,,,,,,,,,,,,
GloVe: global vectors for word representation,crossref,0.0,0.0,0.0,0.673554324183399,,,,,,,
Dialogue act classification using language models,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Dialog act tagging using memory-based learning,,,,,,,,,,,,
Bidirectional recurrent neural networks,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
The ICSI meeting recorder dialog act (MRDA,,,,,,,,,,,,
From symbolic to sub-symbolic information in question classification,crossref,0.0,0.0,0.0,0.6787988634769389,,,,,,,
Semantic compositionality through recursive matrixvector spaces,,,,,,,,,,,,
Dialogue act modeling for automatic tagging and recognition,,,,,,,,,,,,
"Baselines and bigrams: Simple, good sentiment and topic classification",,,,,,,,,,,,
Adadelta: An adaptive learning rate method,arxiv Library,0.0,0.37037037037037035,0.14285714285714285,0.8188550790226503,arxiv Library,0.8,,0.821967109615279,0.37037037037037035,0.1282051282051282,
