,abstract,faithfulness,precision,recall,semantic_similarity,pdf,pdf-faithfulness,pdf-precision,pdf-recall,pdf-semantic_similarity,precision_recall,pdf-precision_recall
Oracle inequalities for computationally adaptive model selection,arxiv Library,0.0,0.1282051282051282,0.06666666666666667,0.7819272591402946,arxiv Library,0.5,0.20512820512820512,0.11764705882352941,0.820463977649693,,
Meilă. Experiments with kemeny ranking: What works when,,,,,,,,,,,,
Random utility theory for social choice,arxiv Library,0.0,0.16292134831460675,0.34523809523809523,0.7696806747644825,arxiv Library,0.2,0.09550561797752809,0.2537313432835821,0.8598688088451879,,
Generalized method-of-moments for rank aggregation,,,,,,,,,,,,
Computing parametric ranking models via rank-breaking,,,,,,,,,,,,
Theoretical and empirical evaluation of data reduction for exact kemeny rank aggregation,crossref,0.5,0.0,0.0,0.6716756095669826,,,,,,,
The tradeoffs of large scale learning,,,,,,,,,,,,
Computational and statistical tradeoffs via convex relaxation,arxiv Library,0.2,0.15384615384615385,0.06382978723404255,0.7839580600908355,arxiv Library,0.0,0.2564102564102564,0.1388888888888889,0.8614445053557961,,
Spectral mle: Top-k rank aggregation from pairwise comparisons,,,,,,,,,,,,
Improved sum-of-squares lower bounds for hidden clique and hidden submatrix problems,,,,,,,,,,,,
Solution of a ranking problem from binary comparisons,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
Eigentaste: A constant time collaborative filtering algorithm,,,,,,,,,,,,
Minimax-optimal inference from partial rankings,,,,,,,,,,,,
A large-deviation inequality for vector-valued martingales,,,,,,,,,,,,
Mm algorithms for generalized bradley-terry models,crossref,0.0,0.0,0.0,0.7117204611382466,,,,,,,
Nantonac collaborative filtering: recommendation based on order responses,,,,,,,,,,,,
Data-driven rank breaking for efficient rank aggregation,,,,,,,,,,,,
"Tradeoffs for space, time, data and risk in unsupervised learning",arxiv Library,0.0,0.2564102564102564,0.1111111111111111,0.7758819397927981,arxiv Library,0.3,0.2564102564102564,0.12195121951219512,0.8301293875446047,,
Fast and accurate inference of plackett-luce models,,,,,,,,,,,,
Sum-of-squares lower bounds for planted clique,crossref,0.0,0.0,0.0,0.6734004301156175,,,,,,,
Rank centrality: Ranking from pair-wise comparisons,,,,,,,,,,,,
Logarithmic concave measures and related topics,,,,,,,,,,,,
Estimation from pairwise comparisons: Sharp minimax bounds with topology dependence,arxiv Library,1.0,1.0,0.0,0.6484512655983984,arxiv Library,0.0,1.0,0.0,0.7024683521303293,,
Stochastically transitive models for pairwise comparisons: Statistical and computational issues,arxiv Library,1.0,1.0,0.0,0.6495020684362315,arxiv Library,0.0,1.0,0.0,0.6761311032218332,,
Svm optimization: inverse dependence on training set size,,,,,,,,,,,,
Asymptotics when the number of parameters tends to infinity in the bradley-terry model for paired comparisons,crossref,0.0,1.0,0.0,0.7019992385653937,,,,,,,
